sample,thin_sample,who,value
53,530,tsimane,0.000659
53,530,adults,0.002010
54,540,monkeys,0.082397
54,540,kids,0.015865
54,540,tsimane,0.000703
54,540,adults,0.000531
55,550,monkeys,0.086679
55,550,kids,0.013957
55,550,tsimane,0.000196
55,550,adults,0.000388
56,560,monkeys,0.074273
56,560,kids,0.020723
56,560,tsimane,0.002026
56,560,adults,0.001790
57,570,monkeys,0.075417
57,570,kids,0.020086
57,570,tsimane,0.001627
57,570,adults,0.001419
58,580,monkeys,0.075317
58,580,kids,0.019999
58,580,tsimane,0.001526
58,580,adults,0.001414
59,590,monkeys,0.084063
59,590,kids,0.020821
59,590,tsimane,0.001660
59,590,adults,0.000807
60,600,monkeys,0.071858
60,600,kids,0.011636
60,600,tsimane,0.002260
60,600,adults,0.001221
61,610,monkeys,0.072488
61,610,kids,0.011877
61,610,tsimane,0.001424
61,610,adults,0.000315
62,620,monkeys,0.073141
62,620,kids,0.011778
62,620,tsimane,0.001103
62,620,adults,0.000337
63,630,monkeys,0.074649
63,630,kids,0.011712
63,630,tsimane,0.001048
63,630,adults,0.000335
64,640,monkeys,0.075715
64,640,kids,0.011509
64,640,tsimane,0.000978
64,640,adults,0.000329
65,650,monkeys,0.075458
65,650,kids,0.011813
65,650,tsimane,0.000883
65,650,adults,0.000377
66,660,monkeys,0.076749
66,660,kids,0.011893
66,660,tsimane,0.000891
66,660,adults,0.000312
67,670,monkeys,0.082087
67,670,kids,0.010928
67,670,tsimane,0.001833
67,670,adults,0.000138
68,680,monkeys,0.083258
68,680,kids,0.010521
68,680,tsimane,0.002008
68,680,adults,0.000144
69,690,monkeys,0.079949
69,690,kids,0.011184
69,690,tsimane,0.001919
69,690,adults,0.000038
70,700,monkeys,0.074656
70,700,kids,0.012315
70,700,tsimane,0.001500
70,700,adults,0.000038
71,710,monkeys,0.083300
71,710,kids,0.011210
71,710,tsimane,0.000953
71,710,adults,0.000041
72,720,monkeys,0.083084
72,720,kids,0.011752
72,720,tsimane,0.000847
72,720,adults,0.000057
73,730,monkeys,0.084740
73,730,kids,0.012107
73,730,tsimane,0.000795
73,730,adults,0.000062
74,740,monkeys,0.080945
74,740,kids,0.010522
74,740,tsimane,0.006887
74,740,adults,0.000166
75,750,monkeys,0.087051
75,750,kids,0.009804
75,750,tsimane,0.007047
75,750,adults,0.000149
76,760,monkeys,0.088958
76,760,kids,0.010051
76,760,tsimane,0.007436
76,760,adults,0.000105
77,770,monkeys,0.083787
77,770,kids,0.011763
77,770,tsimane,0.004612
77,770,adults,0.000079
78,780,monkeys,0.090963
78,780,kids,0.012470
78,780,tsimane,0.004377
78,780,adults,0.000116
79,790,monkeys,0.092025
79,790,kids,0.012717
79,790,tsimane,0.004647
