sample,thin_sample,who,value
53,530,tsimane,0.003703
53,530,adults,0.000577
54,540,monkeys,0.080870
54,540,kids,0.018160
54,540,tsimane,0.000659
54,540,adults,0.000129
55,550,monkeys,0.079542
55,550,kids,0.014661
55,550,tsimane,0.001536
55,550,adults,0.000745
56,560,monkeys,0.081561
56,560,kids,0.016069
56,560,tsimane,0.001668
56,560,adults,0.000413
57,570,monkeys,0.074806
57,570,kids,0.015153
57,570,tsimane,0.001245
57,570,adults,0.000662
58,580,monkeys,0.081322
58,580,kids,0.017587
58,580,tsimane,0.002238
58,580,adults,0.000766
59,590,monkeys,0.097035
59,590,kids,0.015057
59,590,tsimane,0.002518
59,590,adults,0.000502
60,600,monkeys,0.058225
60,600,kids,0.014112
60,600,tsimane,0.001415
60,600,adults,0.001665
61,610,monkeys,0.052452
61,610,kids,0.012407
61,610,tsimane,0.002680
61,610,adults,0.000233
62,620,monkeys,0.055079
62,620,kids,0.012846
62,620,tsimane,0.003073
62,620,adults,0.000280
63,630,monkeys,0.063896
63,630,kids,0.014765
63,630,tsimane,0.004052
63,630,adults,0.000377
64,640,monkeys,0.063887
64,640,kids,0.013546
64,640,tsimane,0.002804
64,640,adults,0.000525
65,650,monkeys,0.064859
65,650,kids,0.011835
65,650,tsimane,0.002359
65,650,adults,0.000328
66,660,monkeys,0.074804
66,660,kids,0.009078
66,660,tsimane,0.000941
66,660,adults,0.000366
67,670,monkeys,0.068268
67,670,kids,0.007274
67,670,tsimane,0.000917
67,670,adults,0.000570
68,680,monkeys,0.068582
68,680,kids,0.008543
68,680,tsimane,0.000941
68,680,adults,0.000787
69,690,monkeys,0.067581
69,690,kids,0.008820
69,690,tsimane,0.000926
69,690,adults,0.000801
70,700,monkeys,0.071638
70,700,kids,0.008057
70,700,tsimane,0.000758
70,700,adults,0.000745
71,710,monkeys,0.071447
71,710,kids,0.008889
71,710,tsimane,0.000761
71,710,adults,0.000834
72,720,monkeys,0.078499
72,720,kids,0.009408
72,720,tsimane,0.003928
72,720,adults,0.001225
73,730,monkeys,0.084216
73,730,kids,0.009568
73,730,tsimane,0.001618
73,730,adults,0.000702
74,740,monkeys,0.065892
74,740,kids,0.024529
74,740,tsimane,0.000124
74,740,adults,0.000590
75,750,monkeys,0.084143
75,750,kids,0.007764
75,750,tsimane,0.001026
75,750,adults,0.000843
76,760,monkeys,0.091108
76,760,kids,0.007505
76,760,tsimane,0.001269
76,760,adults,0.000912
77,770,monkeys,0.098116
77,770,kids,0.006063
77,770,tsimane,0.001085
77,770,adults,0.001108
78,780,monkeys,0.086125
78,780,kids,0.009411
78,780,tsimane,0.002043
78,780,adults,0.002651
79,790,monkeys,0.062817
79,790,kids,0.011566
79,790,tsimane,0.002032
79,790,adults,0.000378
80,800,monkeys,0.073116
80,800,kids,0.013284
80,800,tsimane,0.002331
80,800,adults,0.000259
81,810,monkeys,0.074105
81,810,kids,0.013496
81,810,tsimane,0.002093
81,810,adults,0.001305
82,820,monkeys,0.085401
82,820,kids,0.017180
82,820,tsimane,0.000788
82,820,adults,0.001010
83,830,monkeys,0.092093
83,830,kids,0.013282
83,830,tsimane,0.001902
83,830,adults,0.000640
84,840,monkeys,0.084145
84,840,kids,0.012223
84,840,tsimane,0.000539
84,840,adults,0.001048
85,850,monkeys,0.063535
85,850,kids,0.019374
85,850,tsimane,0.004878
85,850,adults,0.000553
86,860,monkeys,0.094896
86,860,kids,0.016003
86,860,tsimane,0.000147
86,860,adults,0.002089
87,870,monkeys,0.065202
87,870,kids,0.013184
87,870,tsimane,0.002052
87,870,adults,0.000638
88,880,monkeys,0.069410
88,880,kids,0.018109
88,880,tsimane,0.001153
88,880,adults,0.000627
89,890,monkeys,0.092098
89,890,kids,0.012551
89,890,tsimane,0.001587
89,890,adults,0.001283
90,900,monkeys,0.063416
90,900,kids,0.015644
90,900,tsimane,0.000313
90,900,adults,0.001579
91,910,monkeys,0.074885
91,910,kids,0.013713
91,910,tsimane,0.000996
91,910,adults,0.002087
92,920,monkeys,0.088764
92,920,kids,0.015126
92,920,tsimane,0.005135
92,920,adults,0.000466
93,930,monkeys,0.071829
93,930,kids,0.013160
93,930,tsimane,0.000901
93,930,adults,0.001846
94,940,monkeys,0.093562
94,940,kids,0.020408
94,940,tsimane,0.003974
94,940,adults,0.000941
95,950,monkeys,0.066479
95,950,kids,0.013083
95,950,tsimane,0.000975
95,950,adults,0.000557
96,960,monkeys,0.085251
96,960,kids,0.017546
