sample,thin_sample,who,part,digits,value
197,1970,monkeys,0,None,0.177182
197,1970,kids,1,None,0.139932
197,1970,tsimane,2,None,0.171580
197,1970,adults,3,None,0.173616
198,1980,monkeys,0,None,0.126355
198,1980,kids,1,None,0.192560
198,1980,tsimane,2,None,0.114153
198,1980,adults,3,None,0.172240
199,1990,monkeys,0,None,0.117479
199,1990,kids,1,None,0.152949
199,1990,tsimane,2,None,0.256339
199,1990,adults,3,None,0.270218
200,2000,monkeys,0,None,0.042911
200,2000,kids,1,None,0.082204
200,2000,tsimane,2,None,0.031127
200,2000,adults,3,None,0.029744
201,2010,monkeys,0,None,0.161423
201,2010,kids,1,None,0.128253
201,2010,tsimane,2,None,0.116870
201,2010,adults,3,None,0.033870
202,2020,monkeys,0,None,0.151011
202,2020,kids,1,None,0.118134
202,2020,tsimane,2,None,0.135091
202,2020,adults,3,None,0.031726
203,2030,monkeys,0,None,0.172872
203,2030,kids,1,None,0.185601
203,2030,tsimane,2,None,0.123163
203,2030,adults,3,None,0.055719
204,2040,monkeys,0,None,0.087664
204,2040,kids,1,None,0.115340
204,2040,tsimane,2,None,0.088103
204,2040,adults,3,None,0.034002
205,2050,monkeys,0,None,0.086688
205,2050,kids,1,None,0.104226
205,2050,tsimane,2,None,0.080468
205,2050,adults,3,None,0.035164
206,2060,monkeys,0,None,0.129044
206,2060,kids,1,None,0.096474
206,2060,tsimane,2,None,0.039174
206,2060,adults,3,None,0.175431
207,2070,monkeys,0,None,0.087145
207,2070,kids,1,None,0.058557
207,2070,tsimane,2,None,0.059093
207,2070,adults,3,None,0.236311
208,2080,monkeys,0,None,0.043442
208,2080,kids,1,None,0.004453
208,2080,tsimane,2,None,0.061438
208,2080,adults,3,None,0.091004
209,2090,monkeys,0,None,0.107150
209,2090,kids,1,None,0.002988
209,2090,tsimane,2,None,0.084910
209,2090,adults,3,None,0.292984
210,2100,monkeys,0,None,0.082308
210,2100,kids,1,None,0.000898
210,2100,tsimane,2,None,0.082558
210,2100,adults,3,None,0.009647
211,2110,monkeys,0,None,0.079069
211,2110,kids,1,None,0.000707
211,2110,tsimane,2,None,0.045651
211,2110,adults,3,None,0.011602
212,2120,monkeys,0,None,0.073798
212,2120,kids,1,None,0.000704
212,2120,tsimane,2,None,0.042677
212,2120,adults,3,None,0.014164
213,2130,monkeys,0,None,0.090602
213,2130,kids,1,None,0.000183
213,2130,tsimane,2,None,0.168914
213,2130,adults,3,None,0.028531
214,2140,monkeys,0,None,0.168258
214,2140,kids,1,None,0.000181
214,2140,tsimane,2,None,0.213851
214,2140,adults,3,None,0.014000
215,2150,monkeys,0,None,0.045492
215,2150,kids,1,None,0.000020
215,2150,tsimane,2,None,0.014063
215,2150,adults,3,None,0.044526
216,2160,monkeys,0,None,0.028058
216,2160,kids,1,None,0.065983
216,2160,tsimane,2,None,0.014473
216,2160,adults,3,None,0.038660
217,2170,monkeys,0,None,0.024388
217,2170,kids,1,None,0.130576
217,2170,tsimane,2,None,0.050084
217,2170,adults,3,None,0.068034
218,2180,monkeys,0,None,0.248061
218,2180,kids,1,None,0.099158
218,2180,tsimane,2,None,0.055296
218,2180,adults,3,None,0.031291
219,2190,monkeys,0,None,0.234363
219,2190,kids,1,None,0.113743
219,2190,tsimane,2,None,0.052438
219,2190,adults,3,None,0.031508
220,2200,monkeys,0,None,0.222304
220,2200,kids,1,None,0.115761
220,2200,tsimane,2,None,0.054456
220,2200,adults,3,None,0.029708
221,2210,monkeys,0,None,0.046189
221,2210,kids,1,None,0.106261
221,2210,tsimane,2,None,0.081215
221,2210,adults,3,None,0.016618
222,2220,monkeys,0,None,0.057989
222,2220,kids,1,None,0.067727
222,2220,tsimane,2,None,0.008368
222,2220,adults,3,None,0.029868
223,2230,monkeys,0,None,0.389859
223,2230,kids,1,None,0.254586
223,2230,tsimane,2,None,0.008170
223,2230,adults,3,None,0.167310
224,2240,monkeys,0,None,0.010110
224,2240,kids,1,None,0.037150
224,2240,tsimane,2,None,0.353790
224,2240,adults,3,None,0.048874
225,2250,monkeys,0,None,0.053641
225,2250,kids,1,None,0.172591
225,2250,tsimane,2,None,0.029423
225,2250,adults,3,None,0.323722
226,2260,monkeys,0,None,0.015374
226,2260,kids,1,None,0.005035
226,2260,tsimane,2,None,0.184547
226,2260,adults,3,None,0.031327
227,2270,monkeys,0,None,0.066661
227,2270,kids,1,None,0.007352
227,2270,tsimane,2,None,0.121138
227,2270,adults,3,None,0.094959
228,2280,monkeys,0,None,0.204468
228,2280,kids,1,None,0.150150
228,2280,tsimane,2,None,0.246228
228,2280,adults,3,None,0.081680
229,2290,monkeys,0,None,0.069542
229,2290,kids,1,None,0.025420
229,2290,tsimane,2,None,0.010623
229,2290,adults,3,None,0.110621
230,2300,monkeys,0,None,0.147404
230,2300,kids,1,None,0.245927
230,2300,tsimane,2,None,0.035899
230,2300,adults,3,None,0.027332
231,2310,monkeys,0,None,0.105673
231,2310,kids,1,None,0.160074
231,2310,tsimane,2,None,0.252902
231,2310,adults,3,None,0.034505
232,2320,monkeys,0,None,0.107090
232,2320,kids,1,None,0.159892
232,2320,tsimane,2,None,0.422855
232,2320,adults,3,None,0.065940
233,2330,monkeys,0,None,0.210944
233,2330,kids,1,None,0.109328
233,2330,tsimane,2,None,0.012706
233,2330,adults,3,None,0.085984
234,2340,monkeys,0,None,0.205612
234,2340,kids,1,None,0.027484
234,2340,tsimane,2,None,0.033088
234,2340,adults,3,None,0.253121
235,2350,monkeys,0,None,0.049737
235,2350,kids,1,None,0.029706
235,2350,tsimane,2,None,0.192606
235,2350,adults,3,None,0.205375
236,2360,monkeys,0,None,0.010800
236,2360,kids,1,None,0.042043
236,2360,tsimane,2,None,0.313948
236,2360,adults,3,None,0.103393
237,2370,monkeys,0,None,0.026651
237,2370,kids,1,None,0.101568
237,2370,tsimane,2,None,0.114969
237,2370,adults,3,None,0.053777
238,2380,monkeys,0,None,0.087001
238,2380,kids,1,None,0.129430
238,2380,tsimane,2,None,0.072256
238,2380,adults,3,None,0.201277
239,2390,monkeys,0,None,0.031349
239,2390,kids,1,None,0.283732
239,2390,tsimane,2,None,0.041381
239,2390,adults,3,None,0.066007
240,2400,monkeys,0,None,0.039626
240,2400,kids,1,None,0.142637
240,2400,tsimane,2,None,0.042277
240,2400,adults,3,None,0.076182
241,2410,monkeys,0,None,0.112317
241,2410,kids,1,None,0.069270
241,2410,tsimane,2,None,0.186500
241,2410,adults,3,None,0.057927
242,2420,monkeys,0,None,0.097580
242,2420,kids,1,None,0.122335
242,2420,tsimane,2,None,0.018172
242,2420,adults,3,None,0.164860
243,2430,monkeys,0,None,0.039217
243,2430,kids,1,None,0.132095
243,2430,tsimane,2,None,0.008046
243,2430,adults,3,None,0.067262
244,2440,monkeys,0,None,0.077269
244,2440,kids,1,None,0.107558
244,2440,tsimane,2,None,0.016427
244,2440,adults,3,None,0.080189
245,2450,monkeys,0,None,0.033944
245,2450,kids,1,None,0.013974
245,2450,tsimane,2,None,0.018749
245,2450,adults,3,None,0.076328
246,2460,monkeys,0,None,0.045341
246,2460,kids,1,None,0.020414
246,2460,tsimane,2,None,0.006673
246,2460,adults,3,None,0.040575
247,2470,monkeys,0,None,0.066444
247,2470,kids,1,None,0.029832
247,2470,tsimane,2,None,0.008793
247,2470,adults,3,None,0.039052
248,2480,monkeys,0,None,0.111676
248,2480,kids,1,None,0.190610
248,2480,tsimane,2,None,0.015437
248,2480,adults,3,None,0.098059
249,2490,monkeys,0,None,0.092904
249,2490,kids,1,None,0.180190
249,2490,tsimane,2,None,0.060641
249,2490,adults,3,None,0.034699
