sample,thin_sample,who,part,digits,value
40,400,adults,3,None,0.004402
41,410,monkeys,0,None,0.118160
41,410,kids,1,None,0.217653
41,410,tsimane,2,None,0.080757
41,410,adults,3,None,0.070639
42,420,monkeys,0,None,0.024681
42,420,kids,1,None,0.005809
42,420,tsimane,2,None,0.118813
42,420,adults,3,None,0.025359
43,430,monkeys,0,None,0.076210
43,430,kids,1,None,0.004528
43,430,tsimane,2,None,0.019039
43,430,adults,3,None,0.045478
44,440,monkeys,0,None,0.118879
44,440,kids,1,None,0.032709
44,440,tsimane,2,None,0.037426
44,440,adults,3,None,0.071892
45,450,monkeys,0,None,0.120280
45,450,kids,1,None,0.037575
45,450,tsimane,2,None,0.030664
45,450,adults,3,None,0.067711
46,460,monkeys,0,None,0.097747
46,460,kids,1,None,0.019380
46,460,tsimane,2,None,0.044809
46,460,adults,3,None,0.177741
47,470,monkeys,0,None,0.078784
47,470,kids,1,None,0.018752
47,470,tsimane,2,None,0.010086
47,470,adults,3,None,0.250378
48,480,monkeys,0,None,0.113201
48,480,kids,1,None,0.017813
48,480,tsimane,2,None,0.003891
48,480,adults,3,None,0.325524
49,490,monkeys,0,None,0.074527
49,490,kids,1,None,0.013692
49,490,tsimane,2,None,0.002734
49,490,adults,3,None,0.360132
50,500,monkeys,0,None,0.071074
50,500,kids,1,None,0.012212
50,500,tsimane,2,None,0.002260
50,500,adults,3,None,0.476594
51,510,monkeys,0,None,0.143772
51,510,kids,1,None,0.012411
51,510,tsimane,2,None,0.002344
51,510,adults,3,None,0.254064
52,520,monkeys,0,None,0.127279
52,520,kids,1,None,0.038940
52,520,tsimane,2,None,0.002482
52,520,adults,3,None,0.091122
53,530,monkeys,0,None,0.074458
53,530,kids,1,None,0.041180
53,530,tsimane,2,None,0.004716
53,530,adults,3,None,0.204844
54,540,monkeys,0,None,0.074809
54,540,kids,1,None,0.023647
54,540,tsimane,2,None,0.002292
54,540,adults,3,None,0.017582
55,550,monkeys,0,None,0.113514
55,550,kids,1,None,0.086831
55,550,tsimane,2,None,0.002002
55,550,adults,3,None,0.136485
56,560,monkeys,0,None,0.087692
56,560,kids,1,None,0.094440
56,560,tsimane,2,None,0.287362
56,560,adults,3,None,0.005990
57,570,monkeys,0,None,0.061708
57,570,kids,1,None,0.081639
57,570,tsimane,2,None,0.091426
57,570,adults,3,None,0.004524
58,580,monkeys,0,None,0.026975
58,580,kids,1,None,0.118799
58,580,tsimane,2,None,0.092240
58,580,adults,3,None,0.047999
59,590,monkeys,0,None,0.058278
59,590,kids,1,None,0.053184
59,590,tsimane,2,None,0.073177
59,590,adults,3,None,0.034126
60,600,monkeys,0,None,0.238634
60,600,kids,1,None,0.011783
60,600,tsimane,2,None,0.145597
60,600,adults,3,None,0.014456
61,610,monkeys,0,None,0.055443
61,610,kids,1,None,0.521648
61,610,tsimane,2,None,0.067592
61,610,adults,3,None,0.045332
62,620,monkeys,0,None,0.001717
62,620,kids,1,None,0.075990
62,620,tsimane,2,None,0.057881
62,620,adults,3,None,0.150593
63,630,monkeys,0,None,0.219665
63,630,kids,1,None,0.076633
63,630,tsimane,2,None,0.196348
63,630,adults,3,None,0.067796
64,640,monkeys,0,None,0.071665
64,640,kids,1,None,0.047538
64,640,tsimane,2,None,0.187090
64,640,adults,3,None,0.009068
65,650,monkeys,0,None,0.088411
65,650,kids,1,None,0.269284
65,650,tsimane,2,None,0.034673
65,650,adults,3,None,0.122396
66,660,monkeys,0,None,0.052618
66,660,kids,1,None,0.017227
66,660,tsimane,2,None,0.061146
66,660,adults,3,None,0.124237
67,670,monkeys,0,None,0.049389
