 ,monkeys0 ,monkeys1 ,monkeys2 ,kids3 ,kids4 ,kids5 ,kids6 ,kids7 ,kids8 ,kids9 ,kids10 ,kids11 ,kids12 ,kids13 ,kids14 ,kids15 ,kids16 ,kids17 ,kids18 ,kids19 ,kids20 ,kids21 ,kids22 ,kids23 ,kids24 ,kids25 ,kids26 ,kids27 ,kids28 ,kids29 ,kids30 ,kids31 ,kids32 ,kids33 ,kids34 ,tsimane35 ,tsimane36 ,tsimane37 ,tsimane38 ,tsimane39 ,tsimane40 ,tsimane41 ,tsimane42 ,tsimane43 ,tsimane44 ,tsimane45 ,tsimane46 ,tsimane47 ,tsimane48 ,tsimane49 ,tsimane50 ,tsimane51 ,tsimane52 ,tsimane53 ,tsimane54 ,tsimane55 ,adults56 ,adults57 ,adults58 ,adults59 ,adults60 ,adults61 ,adults62
kids21,0.702378,0.112620,0.102598,0.110831,0.125006,0.079424,0.118472,0.143427,0.102231,0.119591,0.202592,0.075536,0.087354,0.125071,0.082099,0.100446,0.605121,0.352007,0.168649,0.079785,0.087852,0.000000,0.074565,0.119011,0.039338,0.169816,0.060183,0.140598,0.217509,0.039473,0.159586,0.076555,0.147149,0.080537,0.166165,0.114743,0.152818,0.103816,0.185224,0.085150,0.032096,0.189320,0.182356,0.197698,0.052627,0.093359,0.104805,0.182024,0.090671,0.130771,0.165143,0.148362,0.114984,0.091221,0.076133,0.113698,0.318737,0.214629,0.365054,0.404615,0.387690,0.175061,0.366545
kids22,0.628010,0.046767,0.063933,0.038081,0.033143,0.008537,0.031987,0.082077,0.026065,0.044504,0.099202,0.012426,0.012664,0.054297,0.002486,0.019271,0.532686,0.305283,0.070918,0.012784,0.023251,0.074565,0.000000,0.027845,0.013293,0.117050,0.035611,0.076740,0.113220,0.010848,0.081440,0.014916,0.080849,0.012113,0.101918,0.043359,0.059163,0.032583,0.083533,0.008425,0.014015,0.087995,0.082929,0.096838,0.034949,0.019627,0.020968,0.084332,0.017180,0.066861,0.066291,0.064966,0.026417,0.014489,0.009930,0.023749,0.204057,0.109553,0.246817,0.283677,0.268002,0.097511,0.246909
kids23,0.847806,0.132310,0.159162,0.064925,0.001864,0.026547,0.001890,0.123312,0.003445,0.056151,0.027463,0.059535,0.045098,0.075689,0.044072,0.025547,0.692817,0.405539,0.013474,0.061327,0.044101,0.119011,0.027845,0.000000,0.059778,0.175495,0.110586,0.118209,0.035863,0.056372,0.026017,0.056585,0.120752,0.041048,0.147504,0.064839,0.007623,0.044213,0.024848,0.011037,0.032322,0.025938,0.022103,0.028752,0.026186,0.045119,0.008467,0.023315,0.004592,0.112054,0.011712,0.012879,0.003318,0.008525,0.018764,0.002865,0.098692,0.033766,0.130234,0.156908,0.145843,0.047365,0.129909
kids24,0.569364,0.049377,0.058889,0.055203,0.065759,0.019237,0.062335,0.093610,0.053191,0.066187,0.143166,0.008637,0.021457,0.072498,0.013321,0.041669,0.472643,0.302921,0.109542,0.014024,0.036900,0.039338,0.013293,0.059778,0.000000,0.123859,0.032671,0.088652,0.157751,0.000927,0.111641,0.026689,0.094130,0.017969,0.114421,0.060597,0.097415,0.052121,0.120830,0.024120,0.015183,0.126463,0.121390,0.137911,0.037048,0.035169,0.046461,0.123081,0.038963,0.076605,0.104888,0.098391,0.058017,0.037792,0.028000,0.055637,0.256776,0.153434,0.304361,0.342894,0.326042,0.121237,0.304777
kids25,0.786537,0.072336,0.194144,0.029168,0.167861,0.101012,0.206919,0.005598,0.141100,0.035778,0.331969,0.145147,0.062182,0.022561,0.124537,0.068094,0.707340,0.048225,0.276992,0.126333,0.051565,0.169816,0.117050,0.175495,0.123859,0.000000,0.086441,0.006499,0.359829,0.110884,0.326067,0.052059,0.006026,0.192234,0.002023,0.027635,0.247903,0.044216,0.327687,0.141197,0.136367,0.333056,0.317197,0.341121,0.219281,0.047835,0.110680,0.321874,0.133915,0.009085,0.270139,0.274448,0.137725,0.108695,0.087143,0.137427,0.528882,0.352611,0.599953,0.654367,0.632421,0.378403,0.598909
kids26,0.560711,0.018677,0.029674,0.051625,0.119815,0.048840,0.119993,0.073638,0.098121,0.071091,0.232776,0.043126,0.039262,0.069536,0.030297,0.060594,0.532737,0.221127,0.189250,0.030533,0.044226,0.060183,0.035611,0.110586,0.032671,0.086441,0.000000,0.070809,0.254458,0.026705,0.201445,0.019044,0.075382,0.058924,0.087150,0.061397,0.166466,0.061712,0.211811,0.067173,0.038932,0.217739,0.208823,0.229179,0.095475,0.042259,0.085079,0.208763,0.083199,0.058704,0.181668,0.174980,0.100193,0.071082,0.047003,0.095576,0.378908,0.249321,0.434157,0.483582,0.463026,0.222519,0.435182
kids27,0.759211,0.058055,0.167705,0.010078,0.111123,0.063426,0.144276,0.000806,0.090137,0.013187,0.249911,0.106338,0.033841,0.006125,0.086057,0.034969,0.659743,0.087206,0.202398,0.092333,0.025614,0.140598,0.076740,0.118209,0.088652,0.006499,0.070809,0.000000,0.273851,0.077992,0.245787,0.029702,0.000289,0.140929,0.002139,0.008517,0.178348,0.018381,0.245545,0.093691,0.095376,0.250618,0.236889,0.257725,0.160754,0.021389,0.066128,0.241285,0.084160,0.001886,0.196815,0.201173,0.087381,0.064844,0.050234,0.087339,0.424016,0.268456,0.488089,0.536842,0.517114,0.294948,0.486883
kids28,1.057372,0.291959,0.294386,0.190535,0.036653,0.113087,0.026178,0.280720,0.051073,0.170304,0.000638,0.151789,0.156281,0.204481,0.138461,0.117828,0.846720,0.666199,0.005746,0.164505,0.154212,0.217509,0.113220,0.035863,0.157751,0.359829,0.254458,0.273851,0.000000,0.157814,0.006082,0.179915,0.276972,0.107150,0.316557,0.189263,0.010995,0.151989,0.003803,0.074828,0.107719,0.002881,0.002826,0.001050,0.059846,0.158751,0.072919,0.003063,0.059249,0.267225,0.007076,0.007959,0.052849,0.076401,0.104650,0.053900,0.016833,0.000682,0.031050,0.043963,0.038431,0.019677,0.030658
kids29,0.590783,0.044907,0.058429,0.046167,0.062156,0.014435,0.060433,0.082431,0.048731,0.056842,0.142503,0.009920,0.017465,0.062634,0.011937,0.034793,0.498373,0.284807,0.108068,0.012202,0.029607,0.039473,0.010848,0.056372,0.000927,0.110884,0.026705,0.077992,0.157814,0.000000,0.113081,0.019683,0.083108,0.019211,0.101984,0.051175,0.094990,0.043776,0.122234,0.022489,0.012712,0.127088,0.121730,0.138002,0.038159,0.029093,0.040964,0.123012,0.035825,0.066459,0.103284,0.097513,0.052778,0.033227,0.022869,0.050366,0.258828,0.152779,0.307139,0.346553,0.329618,0.124117,0.307626
kids30,0.949790,0.242325,0.231448,0.165765,0.029331,0.084978,0.015199,0.252621,0.039289,0.151830,0.005186,0.109160,0.125696,0.182837,0.101758,0.098849,0.760284,0.623066,0.005361,0.122640,0.128032,0.159586,0.081440,0.026017,0.111641,0.326067,0.201445,0.245787,0.006082,0.113081,0.000000,0.145425,0.250038,0.070135,0.288495,0.166592,0.008712,0.131739,0.002248,0.051173,0.071417,0.002406,0.002330,0.003045,0.030354,0.132490,0.059277,0.002230,0.042905,0.236640,0.005827,0.003240,0.043146,0.059234,0.081022,0.043369,0.030772,0.006184,0.048507,0.064728,0.057583,0.008611,0.048561
