who,id,alg_name,alg_type,val,sds
kids, 11, OOCM, Crossing, 0.134448, 0.073170
kids, 11, OCCO, Other, 0.055293, 0.040707
kids, 11, CCOO, Other, 0.125680, 0.060323
kids, 11, COCO, Other, 0.120632, 0.059486
kids, 11, COOM, Other, 0.090699, 0.045210
kids, 12, OMCO, Other, 0.026630, 0.035922
kids, 12, OCOM, Other, 0.143493, 0.063637
kids, 12, OOMC, Recursive, 0.247776, 0.097210
kids, 12, OMOC, Tail, 0.014915, 0.022372
kids, 12, OOCM, Crossing, 0.193965, 0.079210
kids, 12, OCCO, Other, 0.214575, 0.074016
kids, 12, CCOO, Other, 0.040185, 0.038859
kids, 12, COCO, Other, 0.068797, 0.046917
kids, 12, COOM, Other, 0.049665, 0.039029
kids, 13, OMCO, Other, 0.018308, 0.035285
kids, 13, OCOM, Other, 0.024802, 0.028576
kids, 13, OOMC, Recursive, 0.380445, 0.129082
kids, 13, OMOC, Tail, 0.022551, 0.030417
kids, 13, OOCM, Crossing, 0.489670, 0.121584
kids, 13, OCCO, Other, 0.012090, 0.018106
kids, 13, CCOO, Other, 0.009051, 0.016527
kids, 13, COCO, Other, 0.006152, 0.010471
kids, 13, COOM, Other, 0.036932, 0.033775
kids, 14, OMCO, Other, 0.112557, 0.074831
kids, 14, OCOM, Other, 0.054997, 0.056259
kids, 14, OOMC, Recursive, 0.346610, 0.115240
kids, 14, OMOC, Tail, 0.131937, 0.095703
kids, 14, OOCM, Crossing, 0.238837, 0.102007
kids, 14, OCCO, Other, 0.023392, 0.034686
kids, 14, CCOO, Other, 0.040702, 0.042344
kids, 14, COCO, Other, 0.039900, 0.037943
kids, 14, COOM, Other, 0.011065, 0.016715
kids, 15, OMCO, Other, 0.025560, 0.042288
kids, 15, OCOM, Other, 0.048969, 0.046175
kids, 15, OOMC, Recursive, 0.418577, 0.123362
kids, 15, OMOC, Tail, 0.015425, 0.029196
kids, 15, OOCM, Crossing, 0.305803, 0.105872
kids, 15, OCCO, Other, 0.055413, 0.037248
kids, 15, CCOO, Other, 0.010457, 0.018878
kids, 15, COCO, Other, 0.029355, 0.035446
kids, 15, COOM, Other, 0.090441, 0.059711
kids, 16, OMCO, Other, 0.014764, 0.018055
kids, 16, OCOM, Other, 0.049371, 0.060312
kids, 16, OOMC, Recursive, 0.181163, 0.079321
kids, 16, OMOC, Tail, 0.662222, 0.101725
kids, 16, OOCM, Crossing, 0.070125, 0.042192
kids, 16, OCCO, Other, 0.008412, 0.013217
kids, 16, CCOO, Other, 0.003474, 0.006592
kids, 16, COCO, Other, 0.004130, 0.008272
kids, 16, COOM, Other, 0.006339, 0.009337
kids, 17, OMCO, Other, 0.018259, 0.024224
kids, 17, OCOM, Other, 0.022328, 0.026508
kids, 17, OOMC, Recursive, 0.206858, 0.082433
kids, 17, OMOC, Tail, 0.016694, 0.025818
kids, 17, OOCM, Crossing, 0.640411, 0.114009
kids, 17, OCCO, Other, 0.009573, 0.015179
kids, 17, CCOO, Other, 0.024296, 0.051030
kids, 17, COCO, Other, 0.023110, 0.040556
kids, 17, COOM, Other, 0.038471, 0.059192
kids, 18, OMCO, Other, 0.014271, 0.025216
kids, 18, OCOM, Other, 0.017250, 0.017820
kids, 18, OOMC, Recursive, 0.721835, 0.116526
kids, 18, OMOC, Tail, 0.013676, 0.018088
kids, 18, OOCM, Crossing, 0.179760, 0.099399
kids, 18, OCCO, Other, 0.007221, 0.014029
kids, 18, CCOO, Other, 0.012851, 0.021529
kids, 18, COCO, Other, 0.011265, 0.019003
kids, 18, COOM, Other, 0.021871, 0.034340
kids, 19, OMCO, Other, 0.040141, 0.044879
kids, 19, OCOM, Other, 0.081477, 0.054062
kids, 19, OOMC, Recursive, 0.211790, 0.085771
kids, 19, OMOC, Tail, 0.046813, 0.048658
kids, 19, OOCM, Crossing, 0.171839, 0.066136
kids, 19, OCCO, Other, 0.019072, 0.026975
kids, 19, CCOO, Other, 0.104258, 0.054946
kids, 19, COCO, Other, 0.146178, 0.074032
kids, 19, COOM, Other, 0.178430, 0.069672
kids, 20, OMCO, Other, 0.014343, 0.024068
kids, 20, OCOM, Other, 0.041727, 0.030697
kids, 20, OOMC, Recursive, 0.451112, 0.127453
kids, 20, OMOC, Tail, 0.019202, 0.028801
kids, 20, OOCM, Crossing, 0.302340, 0.098945
kids, 20, OCCO, Other, 0.031475, 0.027950
kids, 20, CCOO, Other, 0.006652, 0.014234
kids, 20, COCO, Other, 0.018409, 0.039056
kids, 20, COOM, Other, 0.114740, 0.069225
kids, 21, OMCO, Other, 0.018274, 0.029056
kids, 21, OCOM, Other, 0.276660, 0.075051
kids, 21, OOMC, Recursive, 0.420673, 0.104709
kids, 21, OMOC, Tail, 0.018503, 0.025578
kids, 21, OOCM, Crossing, 0.211408, 0.088717
kids, 21, OCCO, Other, 0.035596, 0.031981
kids, 21, CCOO, Other, 0.005679, 0.010865
kids, 21, COCO, Other, 0.004889, 0.008594
kids, 21, COOM, Other, 0.008319, 0.012333
kids, 22, OMCO, Other, 0.198548, 0.102366
kids, 22, OCOM, Other, 0.123655, 0.071397
kids, 22, OOMC, Recursive, 0.229404, 0.092179
kids, 22, OMOC, Tail, 0.079030, 0.080097
kids, 22, OOCM, Crossing, 0.096418, 0.059645
kids, 22, OCCO, Other, 0.030573, 0.047674
kids, 22, CCOO, Other, 0.007000, 0.011678
kids, 22, COCO, Other, 0.105218, 0.049282
kids, 22, COOM, Other, 0.130152, 0.059735
kids, 23, OMCO, Other, 0.026306, 0.033883
kids, 23, OCOM, Other, 0.020242, 0.022032
kids, 23, OOMC, Recursive, 0.614270, 0.121910
kids, 23, OMOC, Tail, 0.017432, 0.024579
kids, 23, OOCM, Crossing, 0.229705, 0.108732
kids, 23, OCCO, Other, 0.055536, 0.040002
kids, 23, CCOO, Other, 0.024736, 0.022300
kids, 23, COCO, Other, 0.004675, 0.009832
kids, 23, COOM, Other, 0.007098, 0.012224
kids, 24, OMCO, Other, 0.018002, 0.023804
kids, 24, OCOM, Other, 0.292398, 0.076908
kids, 24, OOMC, Recursive, 0.287692, 0.094428
kids, 24, OMOC, Tail, 0.038400, 0.050876
kids, 24, OOCM, Crossing, 0.185449, 0.069414
kids, 24, OCCO, Other, 0.011212, 0.017648
kids, 24, CCOO, Other, 0.052880, 0.035360
kids, 24, COCO, Other, 0.055207, 0.040588
kids, 24, COOM, Other, 0.058761, 0.043039
kids, 25, OMCO, Other, 0.019275, 0.032923
kids, 25, OCOM, Other, 0.042040, 0.035735
kids, 25, OOMC, Recursive, 0.370940, 0.128306
kids, 25, OMOC, Tail, 0.019408, 0.026876
kids, 25, OOCM, Crossing, 0.498959, 0.127837
kids, 25, OCCO, Other, 0.010032, 0.015655
kids, 25, CCOO, Other, 0.019005, 0.030073
kids, 25, COCO, Other, 0.007747, 0.015275
kids, 25, COOM, Other, 0.012595, 0.016206
kids, 26, OMCO, Other, 0.165076, 0.085111
kids, 26, OCOM, Other, 0.158740, 0.064078
kids, 26, OOMC, Recursive, 0.264189, 0.100606
kids, 26, OMOC, Tail, 0.034644, 0.044771
kids, 26, OOCM, Crossing, 0.267268, 0.077319
kids, 26, OCCO, Other, 0.024967, 0.045448
kids, 26, CCOO, Other, 0.010351, 0.019220
kids, 26, COCO, Other, 0.007842, 0.015402
kids, 26, COOM, Other, 0.066922, 0.040606
kids, 27, OMCO, Other, 0.014954, 0.026151
kids, 27, OCOM, Other, 0.035949, 0.037883
kids, 27, OOMC, Recursive, 0.393449, 0.133100
kids, 27, OMOC, Tail, 0.037625, 0.045219
kids, 27, OOCM, Crossing, 0.482094, 0.136361
kids, 27, OCCO, Other, 0.010009, 0.018611
kids, 27, CCOO, Other, 0.005995, 0.010384
kids, 27, COCO, Other, 0.005875, 0.011108
kids, 27, COOM, Other, 0.014050, 0.020483
kids, 28, OMCO, Other, 0.014207, 0.023587
kids, 28, OCOM, Other, 0.016251, 0.018588
kids, 28, OOMC, Recursive, 0.795827, 0.103196
kids, 28, OMOC, Tail, 0.018287, 0.027036
kids, 28, OOCM, Crossing, 0.133431, 0.093052
kids, 28, OCCO, Other, 0.006941, 0.011902
kids, 28, CCOO, Other, 0.004308, 0.007687
kids, 28, COCO, Other, 0.004523, 0.008546
kids, 28, COOM, Other, 0.006226, 0.008394
kids, 29, OMCO, Other, 0.017103, 0.024679
kids, 29, OCOM, Other, 0.206490, 0.084707
kids, 29, OOMC, Recursive, 0.311013, 0.099657
kids, 29, OMOC, Tail, 0.038972, 0.051309
kids, 29, OOCM, Crossing, 0.190897, 0.087182
kids, 29, OCCO, Other, 0.042744, 0.044456
kids, 29, CCOO, Other, 0.097403, 0.059062
kids, 29, COCO, Other, 0.065190, 0.053456
kids, 29, COOM, Other, 0.030188, 0.033664
kids, 30, OMCO, Other, 0.016739, 0.027983
kids, 30, OCOM, Other, 0.074761, 0.040223
kids, 30, OOMC, Recursive, 0.689519, 0.109648
kids, 30, OMOC, Tail, 0.041630, 0.045913
kids, 30, OOCM, Crossing, 0.132538, 0.087928
kids, 30, OCCO, Other, 0.007406, 0.013199
kids, 30, CCOO, Other, 0.010418, 0.016200
