sample,thin_sample,who,value
0,0,monkeys,3.364760
0,0,kids,3.777504
0,0,tsimane,3.624790
0,0,adults,4.946428
1,10,monkeys,3.779587
1,10,kids,2.612594
1,10,tsimane,2.541961
1,10,adults,3.604863
2,20,monkeys,2.831611
2,20,kids,2.857028
2,20,tsimane,3.894459
2,20,adults,3.404556
3,30,monkeys,2.804388
3,30,kids,2.883583
3,30,tsimane,4.551921
3,30,adults,3.050323
4,40,monkeys,1.336766
4,40,kids,2.384346
4,40,tsimane,3.358508
4,40,adults,4.497248
5,50,monkeys,1.853702
5,50,kids,2.903954
5,50,tsimane,3.144804
5,50,adults,4.912962
6,60,monkeys,1.902189
6,60,kids,2.241579
6,60,tsimane,3.490224
6,60,adults,4.682583
7,70,monkeys,1.995740
7,70,kids,2.312557
7,70,tsimane,3.293334
7,70,adults,4.591166
8,80,monkeys,3.174492
8,80,kids,3.319167
8,80,tsimane,4.133306
8,80,adults,8.281524
9,90,monkeys,3.401202
9,90,kids,4.026957
9,90,tsimane,3.140101
9,90,adults,9.814043
10,100,monkeys,4.672690
10,100,kids,2.968389
10,100,tsimane,3.646084
10,100,adults,2.457710
11,110,monkeys,5.014465
11,110,kids,3.626561
11,110,tsimane,4.623392
11,110,adults,3.153689
12,120,monkeys,3.261769
12,120,kids,3.321015
12,120,tsimane,5.222517
12,120,adults,2.452857
13,130,monkeys,2.617110
13,130,kids,3.350477
13,130,tsimane,4.339475
13,130,adults,5.233287
14,140,monkeys,3.156241
14,140,kids,2.528556
14,140,tsimane,3.057472
14,140,adults,4.690596
15,150,monkeys,4.634701
15,150,kids,3.677267
15,150,tsimane,4.014320
15,150,adults,5.142919
16,160,monkeys,2.833174
16,160,kids,2.830139
16,160,tsimane,3.466464
16,160,adults,3.851044
17,170,monkeys,5.501102
17,170,kids,2.844282
17,170,tsimane,3.246411
17,170,adults,5.168810
18,180,monkeys,4.408391
18,180,kids,2.659582
18,180,tsimane,3.186895
18,180,adults,4.466678
19,190,monkeys,1.839486
19,190,kids,4.010512
19,190,tsimane,3.204057
19,190,adults,5.330837
20,200,monkeys,7.555313
20,200,kids,2.291693
20,200,tsimane,2.730983
20,200,adults,8.161652
21,210,monkeys,3.754406
21,210,kids,2.985891
21,210,tsimane,2.258489
21,210,adults,4.893707
22,220,monkeys,2.694371
22,220,kids,2.638765
22,220,tsimane,2.265028
22,220,adults,6.887042
23,230,monkeys,4.802637
23,230,kids,2.421646
23,230,tsimane,2.813271
23,230,adults,5.423260
24,240,monkeys,4.852087
24,240,kids,2.906652
24,240,tsimane,2.075993
24,240,adults,3.693033
25,250,monkeys,2.193822
25,250,kids,2.841983
25,250,tsimane,4.310306
25,250,adults,4.849327
26,260,monkeys,5.963513
26,260,kids,2.842818
26,260,tsimane,3.302021
26,260,adults,3.802551
27,270,monkeys,2.019368
27,270,kids,2.230200
27,270,tsimane,2.862651
27,270,adults,4.354736
28,280,monkeys,2.285992
28,280,kids,3.076128
28,280,tsimane,3.959236
28,280,adults,5.678563
29,290,monkeys,2.034660
29,290,kids,2.420366
29,290,tsimane,4.957148
29,290,adults,5.256341
30,300,monkeys,1.991273
30,300,kids,3.081422
30,300,tsimane,5.051294
30,300,adults,5.359726
31,310,monkeys,1.824885
31,310,kids,2.483448
31,310,tsimane,4.910312
31,310,adults,4.976584
32,320,monkeys,1.769005
32,320,kids,2.472383
32,320,tsimane,4.703982
32,320,adults,4.854605
33,330,monkeys,3.205632
33,330,kids,3.265548
33,330,tsimane,3.228909
33,330,adults,4.558978
34,340,monkeys,3.006305
34,340,kids,3.306383
34,340,tsimane,3.177209
34,340,adults,4.736648
35,350,monkeys,2.880992
35,350,kids,3.526950
35,350,tsimane,2.941033
35,350,adults,4.095558
36,360,monkeys,3.813155
36,360,kids,2.038908
36,360,tsimane,3.309519
36,360,adults,4.390008
37,370,monkeys,3.173970
37,370,kids,2.820059
37,370,tsimane,4.653137
37,370,adults,4.094977
38,380,monkeys,3.087025
38,380,kids,2.413762
38,380,tsimane,3.848200
38,380,adults,4.371092
39,390,monkeys,2.935293
39,390,kids,2.522795
39,390,tsimane,3.381862
39,390,adults,4.029674
40,400,monkeys,3.458509
40,400,kids,1.993445
40,400,tsimane,3.471110
40,400,adults,5.479599
41,410,monkeys,2.753592
41,410,kids,1.946667
41,410,tsimane,3.042852
41,410,adults,3.638105
42,420,monkeys,2.433420
42,420,kids,1.857525
42,420,tsimane,3.955684
42,420,adults,4.799720
43,430,monkeys,2.709582
43,430,kids,2.565423
43,430,tsimane,2.350825
43,430,adults,4.138051
44,440,monkeys,2.790308
44,440,kids,2.632492
