who, alg_name, alg_type, val,sd
tsimane,]([),Other,0.010844,0.004656
tsimane,)OO],Other,0.010078,0.004516
tsimane,C([M,Other,0.008102,0.003789
tsimane,OMCO,Other,0.011802,0.005725
tsimane,OOCM,Crossing,0.014235,0.011754
tsimane,([]),Recursive,0.253738,0.036636
tsimane,]O)O,Other,0.009520,0.004431
tsimane,])([,Other,0.010510,0.005015
tsimane,COOC,Other,0.007240,0.003096
tsimane,O]O),Other,0.008747,0.005715
tsimane,)(][,Other,0.008338,0.003471
tsimane,OO)],Crossing,0.031727,0.018514
tsimane,COCO,Other,0.009342,0.004071
tsimane,[](),Tail,0.011720,0.005951
tsimane,CCOO,Other,0.008146,0.003549
tsimane,[(CM,Crossing,0.032968,0.016009
tsimane,CC([,Other,0.010311,0.004914
tsimane,)([],Other,0.009559,0.004815
tsimane,)[(],Other,0.008897,0.004614
tsimane,[])(,Other,0.010203,0.004227
tsimane,OMOM,Tail,0.009482,0.004465
tsimane,OOMM,Recursive,0.027468,0.014635
tsimane,(CC[,Other,0.008063,0.003979
tsimane,][)(,Other,0.011038,0.005917
tsimane,(])[,Other,0.008237,0.003552
tsimane,[CC(,Other,0.011279,0.004771
tsimane,[(]),Other,0.021114,0.011310
tsimane,O)O],Other,0.012539,0.006958
tsimane,O)]O,Other,0.009828,0.004611
tsimane,C[(M,Other,0.009446,0.005106
tsimane,(C[M,Other,0.011741,0.006609
tsimane,)][(,Other,0.008717,0.004360
tsimane,([)],Other,0.060555,0.021259
tsimane,[()],Recursive,0.040178,0.022262
tsimane,O])O,Other,0.010950,0.005529
tsimane,()[],Tail,0.009433,0.004617
tsimane,]()[,Other,0.009374,0.004502
tsimane,(][),Other,0.013266,0.007332
tsimane,[)](,Other,0.007131,0.003042
tsimane,([CM,Crossing,0.022637,0.016949
tsimane,]OO),Other,0.009237,0.004454
tsimane,)]OO,Other,0.008067,0.004671
tsimane,C(C[,Other,0.010190,0.003704
