who,id,alg_name,alg_type,val,sd
monkeys, 1, C[(M, Other, 0.002552, 0.007584
monkeys, 1, (C[M, Other, 0.010505, 0.022146
monkeys, 1, )][(, Other, 0.002868, 0.008165
monkeys, 1, ([)], Other, 0.039206, 0.056799
monkeys, 1, [()], Recursive, 0.385883, 0.124519
monkeys, 1, O])O, Other, 0.003376, 0.008577
monkeys, 1, ()[], Tail, 0.036547, 0.040761
monkeys, 1, ]()[, Other, 0.002177, 0.006220
monkeys, 1, (][), Other, 0.002219, 0.006704
monkeys, 1, [)](, Other, 0.002402, 0.007600
monkeys, 1, ([CM, Crossing, 0.012671, 0.031085
monkeys, 1, ]OO), Other, 0.002058, 0.006112
monkeys, 1, )]OO, Other, 0.001944, 0.006410
monkeys, 1, C(C[, Other, 0.002528, 0.006826
monkeys, 2, C[C(, Other, 0.002443, 0.007199
monkeys, 2, OCOM, Other, 0.025772, 0.050977
monkeys, 2, )O]O, Other, 0.002534, 0.007059
monkeys, 2, ][(), Other, 0.002431, 0.007472
monkeys, 2, CC[(, Other, 0.002568, 0.007445
monkeys, 2, ])[(, Other, 0.002621, 0.007461
monkeys, 2, OCCO, Other, 0.005989, 0.015616
monkeys, 2, )]([, Other, 0.005332, 0.011888
monkeys, 2, [C(M, Other, 0.025778, 0.043951
monkeys, 2, ])OO, Other, 0.002005, 0.006563
monkeys, 2, ()][, Other, 0.112036, 0.058462
monkeys, 2, [)(], Other, 0.035947, 0.051341
monkeys, 2, )[](, Other, 0.001977, 0.006080
monkeys, 2, OO]), Crossing, 0.025528, 0.041033
monkeys, 2, ]([), Other, 0.002063, 0.006350
monkeys, 2, )OO], Other, 0.003705, 0.010491
monkeys, 2, C([M, Other, 0.003787, 0.009543
monkeys, 2, OMCO, Other, 0.007403, 0.019388
monkeys, 2, OOCM, Crossing, 0.039347, 0.061620
monkeys, 2, ([]), Recursive, 0.011101, 0.021939
monkeys, 2, ]O)O, Other, 0.003312, 0.009087
monkeys, 2, ])([, Other, 0.002442, 0.006942
monkeys, 2, COOC, Other, 0.003302, 0.008368
monkeys, 2, O]O), Other, 0.007399, 0.015991
monkeys, 2, )(][, Other, 0.002515, 0.007066
monkeys, 2, OO)], Crossing, 0.024238, 0.042061
monkeys, 2, COCO, Other, 0.003032, 0.007962
monkeys, 2, [](), Tail, 0.012395, 0.019067
monkeys, 2, CCOO, Other, 0.002656, 0.007282
monkeys, 2, [(CM, Crossing, 0.045299, 0.066198
monkeys, 2, CC([, Other, 0.003914, 0.009464
monkeys, 2, )([], Other, 0.004393, 0.010774
monkeys, 2, )[(], Other, 0.002164, 0.006452
monkeys, 2, [])(, Other, 0.003634, 0.008310
monkeys, 2, OMOM, Tail, 0.013201, 0.025541
monkeys, 2, OOMM, Recursive, 0.027317, 0.049246
monkeys, 2, (CC[, Other, 0.015206, 0.030734
monkeys, 2, ][)(, Other, 0.002179, 0.006324
monkeys, 2, (])[, Other, 0.004479, 0.011138
monkeys, 2, [CC(, Other, 0.003938, 0.009449
monkeys, 2, [(]), Other, 0.027893, 0.035189
monkeys, 2, O)O], Other, 0.096550, 0.077841
monkeys, 2, O)]O, Other, 0.016463, 0.033622
monkeys, 2, C[(M, Other, 0.002190, 0.006448
monkeys, 2, (C[M, Other, 0.008421, 0.019623
monkeys, 2, )][(, Other, 0.002480, 0.006748
monkeys, 2, ([)], Other, 0.009153, 0.018655
monkeys, 2, [()], Recursive, 0.278615, 0.086129
monkeys, 2, O])O, Other, 0.003030, 0.007851
monkeys, 2, ()[], Tail, 0.012253, 0.024494
monkeys, 2, ]()[, Other, 0.004281, 0.011163
monkeys, 2, (][), Other, 0.004111, 0.010180
monkeys, 2, [)](, Other, 0.005243, 0.012732
monkeys, 2, ([CM, Crossing, 0.013017, 0.025816
monkeys, 2, ]OO), Other, 0.001876, 0.005732
monkeys, 2, )]OO, Other, 0.003597, 0.009553
monkeys, 2, C(C[, Other, 0.003441, 0.008539
kids, 3, C[C(, Other, 0.006267, 0.015755
kids, 3, OCOM, Other, 0.007161, 0.017474
kids, 3, )O]O, Other, 0.006197, 0.014994
kids, 3, ][(), Other, 0.013963, 0.026289
kids, 3, CC[(, Other, 0.008343, 0.019843
kids, 3, ])[(, Other, 0.015525, 0.029182
kids, 3, OCCO, Other, 0.007715, 0.018364
kids, 3, )]([, Other, 0.005724, 0.014383
kids, 3, [C(M, Other, 0.004918, 0.014475
kids, 3, ])OO, Other, 0.012197, 0.025926
kids, 3, ()][, Other, 0.019152, 0.031322
kids, 3, [)(], Other, 0.006073, 0.014598
kids, 3, )[](, Other, 0.005525, 0.014694
kids, 3, OO]), Crossing, 0.029343, 0.049854
kids, 3, ]([), Other, 0.005454, 0.013955
kids, 3, )OO], Other, 0.014136, 0.030870
kids, 3, C([M, Other, 0.015169, 0.031621
kids, 3, OMCO, Other, 0.012970, 0.025991
kids, 3, OOCM, Crossing, 0.025024, 0.047649
kids, 3, ([]), Recursive, 0.168936, 0.100406
kids, 3, ]O)O, Other, 0.005396, 0.014376
kids, 3, ])([, Other, 0.006061, 0.014045
kids, 3, COOC, Other, 0.012743, 0.029359
kids, 3, O]O), Other, 0.006765, 0.014856
kids, 3, )(][, Other, 0.008969, 0.020293
kids, 3, OO)], Crossing, 0.033677, 0.052206
kids, 3, COCO, Other, 0.005741, 0.014294
kids, 3, [](), Tail, 0.006400, 0.015505
kids, 3, CCOO, Other, 0.007406, 0.019338
kids, 3, [(CM, Crossing, 0.019973, 0.032329
kids, 3, CC([, Other, 0.005628, 0.015535
kids, 3, )([], Other, 0.045238, 0.055510
kids, 3, )[(], Other, 0.005768, 0.014587
kids, 3, [])(, Other, 0.004735, 0.012569
kids, 3, OMOM, Tail, 0.005688, 0.014705
kids, 3, OOMM, Recursive, 0.116423, 0.112786
kids, 3, (CC[, Other, 0.008548, 0.020801
kids, 3, ][)(, Other, 0.005372, 0.013414
kids, 3, (])[, Other, 0.007810, 0.017195
kids, 3, [CC(, Other, 0.005289, 0.013899
kids, 3, [(]), Other, 0.009793, 0.019419
kids, 3, O)O], Other, 0.007262, 0.015857
kids, 3, O)]O, Other, 0.010197, 0.023910
kids, 3, C[(M, Other, 0.009746, 0.022079
kids, 3, (C[M, Other, 0.007164, 0.016523
kids, 3, )][(, Other, 0.006455, 0.016586
kids, 3, ([)], Other, 0.019442, 0.031116
kids, 3, [()], Recursive, 0.120364, 0.083571
kids, 3, O])O, Other, 0.005035, 0.013165
kids, 3, ()[], Tail, 0.006390, 0.015065
kids, 3, ]()[, Other, 0.007002, 0.015143
kids, 3, (][), Other, 0.005193, 0.013551
kids, 3, [)](, Other, 0.005312, 0.013877
kids, 3, ([CM, Crossing, 0.044819, 0.061626
kids, 3, ]OO), Other, 0.009610, 0.020427
kids, 3, )]OO, Other, 0.005146, 0.015918
kids, 3, C(C[, Other, 0.007647, 0.017895
kids, 4, C[C(, Other, 0.005651, 0.012513
kids, 4, OCOM, Other, 0.007771, 0.018330
kids, 4, )O]O, Other, 0.004225, 0.011522
kids, 4, ][(), Other, 0.004365, 0.011598
kids, 4, CC[(, Other, 0.005171, 0.014598
kids, 4, ])[(, Other, 0.005493, 0.013676
kids, 4, OCCO, Other, 0.005024, 0.011957
kids, 4, )]([, Other, 0.004978, 0.012494
kids, 4, [C(M, Other, 0.010351, 0.022211
kids, 4, ])OO, Other, 0.005456, 0.013112
kids, 4, ()][, Other, 0.007325, 0.014869
kids, 4, [)(], Other, 0.005362, 0.013291
kids, 4, )[](, Other, 0.004831, 0.013182
kids, 4, OO]), Crossing, 0.104278, 0.123031
kids, 4, ]([), Other, 0.004858, 0.013423
kids, 4, )OO], Other, 0.004536, 0.011683
kids, 4, C([M, Other, 0.005099, 0.012651
kids, 4, OMCO, Other, 0.006840, 0.013777
kids, 4, OOCM, Crossing, 0.054158, 0.082441
kids, 4, ([]), Recursive, 0.100487, 0.075866
kids, 4, ]O)O, Other, 0.004764, 0.011547
kids, 4, ])([, Other, 0.005787, 0.014506
kids, 4, COOC, Other, 0.004058, 0.010476
kids, 4, O]O), Other, 0.009210, 0.019063
kids, 4, )(][, Other, 0.006376, 0.015475
kids, 4, OO)], Crossing, 0.028052, 0.046549
kids, 4, COCO, Other, 0.004744, 0.012360
kids, 4, [](), Tail, 0.013754, 0.025740
kids, 4, CCOO, Other, 0.003774, 0.009822
kids, 4, [(CM, Crossing, 0.076298, 0.105636
kids, 4, CC([, Other, 0.006062, 0.014742
