Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS
k0478,2015.03.31,53,14,D,D,1,0,No Hint,Unknown,1,0,bl,0.75,229.5667,4006,4,1,FALSE,0,6,5,5,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,54,15,C,A,1,0,No Hint,Unknown,bl,bl,bl,2.866667,253.6167,4006,4,1,FALSE,0,6,0,2,4006.03,,40,3,2,1,TEST ,CABD,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,55,15,A,B,1,0,No Hint,Unknown,bl,bl,bl,2.783333,256.4,4006,4,1,FALSE,0,6,2,1,4006.01,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,56,15,B,C,1,0,No Hint,Unknown,bl,bl,bl,2.383333,258.7833,4006,4,1,FALSE,0,6,1,0,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,57,15,D,D,1,0,No Hint,Unknown,1,0,bl,0.5333333,259.3167,4006,4,1,FALSE,0,6,3,3,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,58,16,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.95,265.7333,4006,4,1,FALSE,0,6,0,1,4006.03,,40,3,2,1,TEST ,CABD,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,59,16,A,B,1,0,No Hint,Unknown,bl,bl,bl,1.583333,267.3167,4006,4,1,FALSE,0,6,1,2,4006.01,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,60,16,B,C,1,0,No Hint,Unknown,bl,bl,bl,1.283333,268.6,4006,4,1,FALSE,0,6,2,0,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,61,16,D,D,1,0,No Hint,Unknown,1,0,bl,0.4666667,269.0667,4006,4,1,FALSE,0,6,5,5,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,78,22,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.783333,465.45,4006,4,1,FALSE,0,6,3,3,4006.01,,40,3,2,1,TEST ,ACBD,Not Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,79,22,C,B,1,0,No Hint,Unknown,bl,bl,bl,3.016667,468.4667,4006,4,1,FALSE,0,6,5,1,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,80,22,B,C,1,0,No Hint,Unknown,bl,bl,bl,1.433333,469.9,4006,4,1,FALSE,0,6,1,5,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,81,22,D,D,1,0,No Hint,Unknown,1,0,bl,0.4833333,470.3833,4006,4,1,FALSE,0,6,4,4,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,82,23,A,A,1,0,No Hint,Unknown,bl,bl,bl,9.366667,485.7833,4006,4,1,FALSE,0,6,2,2,4006.01,,40,3,2,1,TEST ,ACDB,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,83,23,C,B,1,0,No Hint,Unknown,bl,bl,bl,6.166667,491.95,4006,4,1,FALSE,0,6,1,5,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,84,23,D,C,1,0,No Hint,Unknown,bl,bl,bl,2.633333,494.5833,4006,4,1,FALSE,0,6,3,1,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,85,23,B,D,1,0,No Hint,Unknown,1,0,bl,0.6166667,495.2,4006,4,1,FALSE,0,6,5,3,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,90,25,A,A,1,0,No Hint,Unknown,bl,bl,bl,4.9,520.6667,4006,4,1,FALSE,0,6,1,1,4006.01,,40,3,2,1,TEST ,ACBD,Not Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,91,25,C,B,1,0,No Hint,Unknown,bl,bl,bl,1.7,522.3667,4006,4,1,FALSE,0,6,4,0,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,92,25,B,C,1,0,No Hint,Unknown,bl,bl,bl,1.45,523.8167,4006,4,1,FALSE,0,6,0,4,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,93,25,D,D,1,0,No Hint,Unknown,1,0,bl,0.5333333,524.35,4006,4,1,FALSE,0,6,5,5,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,94,26,A,A,1,0,No Hint,Unknown,bl,bl,bl,2.05,530.2667,4006,4,1,FALSE,0,6,3,3,4006.01,,40,3,2,1,TEST ,ACBD,Not Recursive,4.919917864,47,34,52,22,20
